#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.78664	0.02911	1.03395
2	2.79483	0.34671	11.03626
3	2.76991	0.36156	11.54602
4	2.61743	0.52594	16.73173
5	2.70027	-0.07761	2.95915
6	2.66511	-0.05801	2.22503
7	2.66774	-0.07070	2.72251
8	2.66725	-0.06655	2.55897
9	2.66591	-0.08077	3.12421
10	2.66668	-0.07147	2.75388
11	2.66713	-0.07284	2.80754
12	2.66600	-0.06164	2.36688
13	2.66515	-0.07177	2.76742
14	2.66502	-0.07164	2.76258
15	2.66628	-0.07473	2.88365
16	2.66469	-0.06124	2.35245
17	2.66668	-0.06415	2.46491
18	2.66765	-0.07244	2.79142
19	2.76495	-0.16608	6.39048
20	2.66303	0.42634	13.80031
21	2.66662	-0.05585	2.13931
22	2.66695	-0.06533	2.51122
23	2.66741	-0.07586	2.92728
24	2.66591	-0.06247	2.39944
25	2.66558	-0.07403	2.85652
26	2.66563	-0.06036	2.31686
27	2.66692	-0.04883	1.86520
28	2.66554	-0.06301	2.42120
29	2.66572	-0.06045	2.32011
30	2.66582	-0.07610	2.93860
31	2.66532	-0.06828	2.62931
32	2.66606	-0.06445	2.47728
33	2.66371	-0.06209	2.38666
34	2.76138	-0.16618	6.40320
35	2.66439	0.14404	5.12900
36	2.66508	-0.06073	2.33169
37	2.66679	-0.06335	2.43328
38	2.66723	-0.08026	3.10231
39	2.66426	-0.06814	2.62459
40	2.66747	-0.07043	2.71204
41	2.66637	-0.06750	2.59729
42	2.66658	-0.06772	2.60558
43	2.66670	-0.06783	2.61015
44	2.66579	-0.06326	2.43084
45	2.66686	-0.06524	2.50784
46	2.66680	-0.04871	1.86053
47	2.66615	-0.06363	2.44474
48	2.70172	-0.11200	4.32493
49	2.72683	-0.12979	4.99780
50	2.66658	-0.08144	3.15028
51	2.66646	-0.05844	2.24087
52	2.66398	-0.06512	2.50556
53	2.66662	-0.07232	2.78783
54	2.66591	-0.05515	2.11229
55	2.66597	-0.05978	2.29389
56	2.66499	-0.06887	2.65269
57	2.66582	-0.06330	2.43206
58	2.66493	-0.06698	2.57804
59	2.66518	-0.07363	2.84119
60	2.66503	-0.05609	2.14994
61	2.66640	-0.06662	2.56240
62	2.66533	-0.06463	2.48529
63	2.76656	-0.16128	6.19063
64	2.66478	0.40721	13.25559
65	2.66676	-0.06149	2.36004
66	2.66732	-0.05930	2.27369
67	2.66594	-0.06341	2.43659
68	2.66613	-0.07184	2.76909
69	2.66588	-0.07433	2.86810
70	2.66713	-0.07284	2.80767
71	2.66564	-0.05945	2.28101
72	2.66658	-0.06039	2.31736
73	2.66762	-0.05868	2.24928
74	2.66616	-0.05723	2.19346
75	2.66533	-0.07103	2.73813
76	2.66500	-0.05606	2.14880
77	2.66484	-0.04767	1.82146
78	2.76402	-0.16972	6.54217
79	2.66509	-0.06348	2.43993
80	2.66582	-0.08159	3.15731
81	2.66567	-0.06040	2.31830
82	2.66706	-0.05721	2.19226
83	2.66649	-0.07403	2.85551
84	2.66534	-0.06555	2.52144
85	2.66661	-0.06042	2.31841
86	2.66573	-0.07601	2.93507
87	2.66679	-0.05694	2.18190
88	2.66408	-0.05057	1.93508
89	2.66551	-0.06848	2.63668
90	2.66737	-0.06118	2.34766
91	2.66668	-0.06415	2.46495
92	2.66772	-0.04780	1.82457
93	2.76361	0.33217	10.72974
94	2.66646	-0.06210	2.38436
95	2.66536	-0.05917	2.27033
96	2.66579	-0.06052	2.32286
97	2.66536	-0.06832	2.63075
98	2.66548	-0.06570	2.52711
99	2.66512	-0.05801	2.22515
100	2.66478	-0.05493	2.10485
101	2.66719	-0.04636	1.76898
102	2.66698	-0.06262	2.40447
103	2.66515	-0.07543	2.91268
104	2.66512	-0.06167	2.36889
105	2.66689	-0.07168	2.76209
106	2.66545	-0.07116	2.74296
107	2.73454	-0.14391	5.55497
108	2.69496	-0.08328	3.18873
109	2.66664	-0.06320	2.42749
110	2.66423	-0.05163	1.97638
111	2.66600	-0.05981	2.29507
112	2.66723	-0.06287	2.41388
113	2.66558	-0.06396	2.45853
114	2.66408	-0.05972	2.29300
115	2.66631	-0.04365	1.66416
116	2.66649	-0.06579	2.52978
117	2.66491	-0.05414	2.07374
118	2.66621	-0.06643	2.55521
119	2.66625	-0.06006	2.30461
120	2.66561	-0.06857	2.64028
