#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.79208	0.02368	0.84081
2	2.65292	0.48861	15.55333
3	2.66694	0.46453	14.83435
4	2.75719	0.38618	12.28552
5	2.87278	-0.25012	9.53684
6	2.85509	-0.24798	9.51184
7	2.86056	-0.26352	10.14691
8	2.85951	-0.25881	9.95148
9	2.85679	-0.27165	10.50803
10	2.85831	-0.26310	10.13798
11	2.85929	-0.26499	10.21453
12	2.85695	-0.25259	9.69876
13	2.85520	-0.26183	10.09594
14	2.85494	-0.26156	10.08577
15	2.85750	-0.26595	10.26226
16	2.85426	-0.25082	9.63408
17	2.85831	-0.25578	9.82832
18	2.86037	-0.26516	10.21723
19	2.85915	-0.26029	10.01537
20	2.91675	0.17263	5.58775
21	2.85822	-0.24746	9.47839
22	2.85890	-0.25729	9.88946
23	2.85984	-0.26830	10.35272
24	2.85676	-0.25331	9.72990
25	2.85608	-0.26453	10.20746
26	2.85621	-0.25093	9.63174
27	2.85883	-0.24075	9.19553
28	2.85601	-0.25348	9.73964
29	2.85639	-0.25112	9.63883
30	2.85656	-0.26684	10.30375
31	2.85554	-0.25850	9.95375
32	2.85708	-0.25546	9.81939
33	2.85224	-0.25062	9.63339
34	2.91712	-0.32191	12.40417
35	2.85421	-0.04578	1.62999
36	2.85507	-0.25071	9.62653
37	2.85857	-0.25513	9.79952
38	2.85949	-0.27252	10.53438
39	2.85334	-0.25722	9.90789
40	2.85998	-0.26294	10.12452
41	2.85769	-0.25883	9.95916
42	2.85816	-0.25929	9.97706
43	2.85842	-0.25955	9.98697
44	2.85650	-0.25397	9.75851
45	2.85874	-0.25713	9.88352
46	2.85858	-0.24049	9.18569
47	2.85728	-0.25475	9.78859
48	2.85688	-0.26716	10.31634
49	2.92021	-0.32317	12.44373
50	2.85811	-0.27297	10.55914
51	2.85794	-0.24992	9.58269
52	2.85275	-0.25389	9.76909
53	2.85822	-0.26393	10.17351
54	2.85676	-0.24599	9.42220
55	2.85693	-0.25074	9.62097
56	2.85483	-0.25871	9.96507
57	2.85661	-0.25408	9.76279
58	2.85474	-0.25679	9.88421
59	2.85523	-0.26368	10.17461
60	2.85494	-0.24600	9.42933
61	2.85776	-0.25798	9.92309
62	2.85560	-0.25490	9.80119
63	2.86323	-0.25796	9.90138
64	2.91957	0.15242	4.96162
65	2.85855	-0.25327	9.72156
66	2.85965	-0.25163	9.64817
67	2.85682	-0.25429	9.77096
68	2.85722	-0.26293	10.13490
69	2.85669	-0.26514	10.23089
70	2.85929	-0.26500	10.21477
71	2.85621	-0.25002	9.59340
72	2.85816	-0.25197	9.66813
73	2.86029	-0.25136	9.63454
74	2.85724	-0.24831	9.51762
75	2.85555	-0.26126	10.07050
76	2.85488	-0.24594	9.42686
77	2.85459	-0.23742	9.07167
78	2.88763	-0.29334	11.30709
79	2.89059	-0.28898	11.10776
80	2.85656	-0.27233	10.53835
81	2.85628	-0.25101	9.63453
82	2.85911	-0.24926	9.55090
83	2.85796	-0.26550	10.24104
84	2.85560	-0.25582	9.84000
85	2.85822	-0.25203	9.67044
86	2.85636	-0.26665	10.29637
87	2.85857	-0.24872	9.53010
88	2.85300	-0.23949	9.16338
89	2.85595	-0.25891	9.96934
90	2.85977	-0.25359	9.73011
91	2.85836	-0.25583	9.83004
92	2.85916	-0.23924	9.13169
93	2.92325	0.17253	5.57298
94	2.85832	-0.25396	9.75134
95	2.85562	-0.24943	9.57061
96	2.85649	-0.25122	9.64277
97	2.85566	-0.25862	9.95843
98	2.85588	-0.25610	9.85066
99	2.85509	-0.24799	9.51207
100	2.85446	-0.24461	9.37254
101	2.85938	-0.23855	9.10217
102	2.85897	-0.25461	9.77617
103	2.85520	-0.26549	10.25156
104	2.85514	-0.25169	9.66769
105	2.85877	-0.26356	10.15574
106	2.85581	-0.26152	10.08067
107	2.84758	-0.25694	9.91815
108	2.93146	-0.31978	12.24422
109	2.85829	-0.25484	9.78864
110	2.85328	-0.24068	9.21238
111	2.85695	-0.25076	9.62188
112	2.85950	-0.25514	9.79651
113	2.85608	-0.25446	9.78104
114	2.85295	-0.24859	9.54508
115	2.85761	-0.23495	8.95840
116	2.85796	-0.25726	9.89192
117	2.85468	-0.24392	9.34267
118	2.85741	-0.25763	9.90948
119	2.85744	-0.25125	9.64056
120	2.85615	-0.25911	9.97710
121	2.85809	-0.24549	9.39653
122	2.87049	0.19051	6.22384
123	2.90935	-0.30591	11.75005
124	2.85321	-0.24428	9.36307
125	2.85708	-0.26005	10.01319
126	2.85787	-0.26083	10.04350
127	2.85253	-0.25275	9.72195
128	2.85568	-0.24217	9.26622
129	2.85757	-0.24680	9.45325
130	2.85253	-0.24268	9.29875
131	2.85715	-0.25828	9.93827
132	2.85562	-0.24852	9.53223
133	2.85546	-0.26209	10.10595
134	2.85831	-0.25944	9.98293
135	2.85601	-0.24708	9.47051
136	2.85320	-0.25525	9.82486
137	2.89879	-0.29169	11.18816
138	2.85442	-0.24914	9.56307
139	2.85770	-0.25974	9.99798
140	2.85487	-0.23770	9.08242
141	2.85871	-0.26533	10.23100
142	2.85849	-0.24864	9.52681
143	2.85568	-0.26139	10.07563
144	2.85601	-0.26538	10.24391
145	2.85877	-0.24709	9.46090
146	2.85146	-0.25992	10.02943
147	2.85413	-0.25343	9.74462
148	2.85763	-0.25419	9.76351
149	2.86043	-0.25241	9.67835
150	2.85533	-0.26470	10.21750
151	2.89353	0.19402	6.28387
152	2.85440	-0.25187	9.67804
153	2.85838	-0.26134	10.06292
154	2.85822	-0.25844	9.94083
155	2.85133	-0.24606	9.44452
156	2.85855	-0.25877	9.95345
157	2.85676	-0.25789	9.92333
158	2.85822	-0.25752	9.90182
159	2.85951	-0.24875	9.52785
160	2.85266	-0.24281	9.30376
161	2.85715	-0.24456	9.36065
162	2.85855	-0.26334	10.14731
163	2.85601	-0.24708	9.47035
164	2.85910	-0.26389	10.16847
165	2.84899	-0.23456	8.97183
166	2.92677	-0.32790	12.61695
167	2.85721	-0.25285	9.70889
168	2.86052	-0.25250	9.68156
169	2.86056	-0.26444	10.18598
170	2.85965	-0.25803	9.91815
171	2.85407	-0.25703	9.89707
172	2.85582	-0.26244	10.11967
173	2.85360	-0.24741	9.49333
174	2.85695	-0.25259	9.69892
175	2.85870	-0.25709	9.88188
176	2.85628	-0.24917	9.55740
177	2.85903	-0.24735	9.47099
178	2.85433	-0.25271	9.71376
179	2.85656	-0.24305	9.29979
180	2.86146	0.22975	7.43237
181	2.91939	-0.31869	12.25416
182	2.85626	-0.24915	9.55668
183	2.85944	-0.26423	10.18146
184	2.85787	-0.25534	9.81110
185	2.85729	-0.26208	10.09865
186	2.85279	-0.23836	9.11715
187	2.85311	-0.25241	9.70546
188	2.85890	-0.24356	9.31261
189	2.85903	-0.24186	9.24133
190	2.85334	-0.25081	9.63728
191	2.85326	-0.24707	9.48007
192	2.85568	-0.25499	9.80450
193	2.85803	-0.25916	9.97203
194	2.85991	-0.26378	10.16062
195	2.91813	-0.30645	11.73398
196	2.86035	-0.25416	9.75219
197	2.85977	-0.25084	9.61456
198	2.85482	-0.26144	10.08096
199	2.85494	-0.25790	9.93068
200	2.85743	-0.25582	9.83299
201	2.85648	-0.25120	9.64210
202	2.85548	-0.25661	9.87399
203	2.85773	-0.25794	9.92170
204	2.85749	-0.25039	9.60406
205	2.85587	-0.24511	9.38836
206	2.85506	-0.24887	9.54914
207	2.85674	-0.24872	9.53683
208	2.85519	-0.24168	9.24728
209	2.84501	0.19861	6.52549
210	2.93255	-0.34466	13.31832
211	2.85387	-0.24494	9.38838
212	2.85627	-0.25008	9.59571
213	2.85818	-0.25931	9.97789
214	2.85835	-0.24484	9.36840
215	2.85748	-0.26136	10.06733
216	2.85389	-0.24221	9.27398
217	2.85400	-0.26062	10.04962
218	2.85634	-0.25838	9.94571
219	2.85890	-0.26461	10.19956
220	2.85529	-0.25917	9.98299
221	2.85735	-0.25940	9.98467
222	2.85640	-0.26211	10.10325
223	2.85328	-0.25807	9.94416
224	2.88031	0.20174	6.54578
225	2.90093	-0.28925	11.07543
226	2.85628	-0.25741	9.90460
227	2.85474	-0.25221	9.69110
228	2.85623	-0.24913	9.55568
229	2.86017	-0.27045	10.44338
230	2.85682	-0.25612	9.84829
231	2.85822	-0.25661	9.86332
232	2.85735	-0.25208	9.67569
233	2.85522	-0.25269	9.70956
234	2.85520	-0.26366	10.17369
235	2.85669	-0.25142	9.65034
236	2.85734	-0.26763	10.33422
237	2.85715	-0.25554	9.82218
238	2.85750	-0.25955	9.99054
239	2.91858	-0.29867	11.39987
240	2.85791	-0.25447	9.77438
241	2.85459	-0.26121	10.07228
242	2.85334	-0.26454	10.21862
243	2.85822	-0.26210	10.09576
244	2.85910	-0.25566	9.81994
245	2.86104	-0.26218	10.08807
246	2.85325	-0.24340	9.32628
247	2.85656	-0.25037	9.60690
248	2.85936	-0.26049	10.02336
249	2.85850	-0.24042	9.18292
250	2.85334	-0.24075	9.21493
251	2.85667	-0.24407	9.34217
252	2.85562	-0.25035	9.60926
253	2.84557	0.24472	7.91899
254	2.93386	-0.33224	12.77060
255	2.85489	-0.25969	10.00640
256	2.85709	-0.24999	9.58866
257	2.85774	-0.25704	9.88342
258	2.85166	-0.22625	8.61775
259	2.85334	-0.24258	9.29149
260	2.85621	-0.24544	9.40125
261	2.85623	-0.26011	10.01918
262	2.85319	-0.25798	9.94077
263	2.85581	-0.25328	9.73222
264	2.85295	-0.25317	9.73804
265	2.85754	-0.24678	9.45235
266	2.85286	-0.24759	9.50338
267	2.85702	-0.23527	8.97385
268	2.92155	-0.31536	12.10048
269	2.85501	-0.26164	10.08861
270	2.85903	-0.25101	9.62456
271	2.85627	-0.25923	9.98190
272	2.85716	-0.24456	9.36081
