#Timestamp	Benchmark	Run(#)	CPU Frequency(MHz)	Current(A)	Power(W)	time	icmiss	ichold	dcmiss	dchold	wbhold	ainst	iinst	bpmiss	ahbutil	ahbtutil	branch	call	type2	ldst	load	store
1	aha-compress	1	80	0.8952050286	2.9541765943	255598346	153	5347	32	23525637	23524666	155742804	155742799	1736757	156408655	156428626	8622197	299037	55501155	81137681	55070730	26066950
2	aha-compress	2	80	0.8958532982	2.9563158841	255598346	153	5347	32	23525637	23524666	155742804	155742799	1736757	156408655	156428626	8622197	299037	55501155	81137681	55070730	26066950
3	aha-compress	3	80	0.8955587129	2.9553437524	255598346	153	5347	32	23525637	23524666	155742804	155742799	1736757	156408655	156428626	8622197	299037	55501155	81137681	55070730	26066950
4	aha-mont	1	80	0.8900119549	2.9370394510	210953954	149	5240	29	26897695	26900426	117325867	117340902	4094771	115574055	115605599	7853116	85963	47801969	50207146	34851461	15364244
5	aha-mont	2	80	0.8932296346	2.9476577945	210953954	149	5240	29	26897695	26900426	117325867	117340902	4094771	115574055	115605599	7853116	85963	47801969	50207146	34851461	15364244
6	aha-mont	3	80	0.8953501781	2.9546555878	210953954	149	5240	29	26897695	26900426	117325867	117340902	4094771	115574055	115605599	7853116	85963	47801969	50207146	34851461	15364244
7	bubblesort	1	80	0.8753907394	2.8887894400	110347536	72	2517	35	8971929	8973138	68111338	68128524	2553976	38706312	38724656	3948389	789	26937104	33347531	26895794	6461743
8	bubblesort	2	80	0.8751596475	2.8880268367	110347536	72	2517	35	8971929	8973138	68111338	68128524	2553976	38706312	38724656	3948389	789	26937104	33347531	26895794	6461743
9	bubblesort	3	80	0.8749180514	2.8872295696	110347536	72	2517	35	8971929	8973138	68111338	68128524	2553976	38706312	38724656	3948389	789	26937104	33347531	26895794	6461743
10	ctl-stack	1	80	0.8877423838	2.9295498665	168929960	181	5975	78	12896530	12896002	102669337	102686153	1745450	72123554	72149106	6858316	1795625	30276861	53664446	41642254	12033145
11	ctl-stack	2	80	0.8877533664	2.9295861091	168929960	181	5975	78	12896530	12896002	102669337	102686153	1745450	72123554	72149106	6858316	1795625	30276861	53664446	41642254	12033145
12	ctl-stack	3	80	0.8876586416	2.9292735172	168929960	181	5975	78	12896530	12896002	102669337	102686153	1745450	72123554	72149106	6858316	1795625	30276861	53664446	41642254	12033145
13	ctl-string	1	80	0.8400194374	2.7720641433	157926339	162	5600	37	2515138	2513841	113327777	113327763	4088889	40955047	40967376	9611388	2723867	44974447	39027776	34320372	4707394
14	ctl-string	2	80	0.8398639088	2.7715508992	157926339	162	5600	37	2515138	2513841	113327777	113327763	4088889	40955047	40967376	9611388	2723867	44974447	39027776	34320372	4707394
15	ctl-string	3	80	0.8399284678	2.7717639439	157926339	162	5600	37	2515138	2513841	113327777	113327763	4088889	40955047	40967376	9611388	2723867	44974447	39027776	34320372	4707394
16	ctl-vector	1	80	0.9015511005	2.9751186315	124775688	196	6640	79	14849665	14850753	75021402	75038194	130833	62298383	62322169	4109668	1607376	24398458	38258410	27871375	10397824
17	ctl-vector	2	80	0.9014253865	2.9747037753	124775688	196	6640	79	14849665	14850753	75021402	75038194	130833	62298383	62322169	4109668	1607376	24398458	38258410	27871375	10397824
18	ctl-vector	3	80	0.9015843777	2.9752284464	124775688	196	6640	79	14849665	14850753	75021402	75038194	130833	62298383	62322169	4109668	1607376	24398458	38258410	27871375	10397824
19	dhrystone	1	80	0.8679463615	2.8642229931	1542831370	1256	44165	149	267960675	266057310	890738189	890747960	25247994	743553235	743681582	63504525	17001095	378533992	303511520	199509555	104004743
20	dhrystone	2	80	0.8681209083	2.8647989976	1542831370	1256	44165	149	267960675	266057310	890738189	890747960	25247994	743553235	743681582	63504525	17001095	378533992	303511520	199509555	104004743
21	dhrystone	3	80	0.8680077173	2.8644254674	1542831370	1256	44165	149	267960675	266057310	890738189	890747960	25247994	743553235	743681582	63504525	17001095	378533992	303511520	199509555	104004743
22	edn	1	80	0.8579848035	2.8313498517	1156407322	217	7497	191	69014260	69009473	692385166	692385185	536832	468012916	468102916	18276872	49181	343241612	310448063	246583013	63865014
23	edn	2	80	0.8578963302	2.8310578899	1156407322	217	7497	191	69014260	69009473	692385166	692385185	536832	468012916	468102916	18276872	49181	343241612	310448063	246583013	63865014
24	edn	3	80	0.8578511867	2.8309089162	1156407322	217	7497	191	69014260	69009473	692385166	692385185	536832	468012916	468102916	18276872	49181	343241612	310448063	246583013	63865014
25	fasta	1	80	0.8366026313	2.7607886833	703792713	238	8290	78	55182172	55182063	454871926	454889966	40462663	203279941	203342837	83344557	11234435	258373327	71868706	40335412	31537389
26	fasta	2	80	0.8367708684	2.7613438658	703792713	238	8290	78	55182172	55182063	454871926	454889966	40462663	203279941	203342837	83344557	11234435	258373327	71868706	40335412	31537389
27	fasta	3	80	0.8369298508	2.7618685078	703792713	238	8290	78	55182172	55182063	454871926	454889966	40462663	203279941	203342837	83344557	11234435	258373327	71868706	40335412	31537389
28	fir	1	80	0.8999618455	2.9698740903	3931949080	101	3583	203	323525175	323520317	2085682156	2085681883	3014711	2482774444	2483080116	110579790	8221	617713880	1238161948	824368289	413793540
29	fir	2	80	0.8999515220	2.9698400228	3931949080	101	3583	203	323525175	323520317	2085682156	2085681883	3014711	2482774444	2483080116	110579790	8221	617713880	1238161948	824368289	413793540
30	fir	3	80	0.9003917536	2.9712927870	3931949080	101	3583	203	323525175	323520317	2085682156	2085681883	3014711	2482774444	2483080116	110579790	8221	617713880	1238161948	824368289	413793540
31	frac	1	80	0.8295069552	2.7373729523	1681728535	261	9324	42	151921099	151922517	1200190033	1200210298	75583611	456959877	457097884	170267156	18498874	817380139	137945351	73139070	64809632
32	frac	2	80	0.8294157219	2.7370718825	1681728535	261	9324	42	151921099	151922517	1200190033	1200210298	75583611	456959877	457097884	170267156	18498874	817380139	137945351	73139070	64809632
33	frac	3	80	0.8293771179	2.7369444892	1681728535	261	9324	42	151921099	151922517	1200190033	1200210298	75583611	456959877	457097884	170267156	18498874	817380139	137945351	73139070	64809632
34	huffbench	1	80	0.8512720585	2.8091977932	4531423717	267	9213	341	390132862	390124388	2995642178	2995642152	66207076	1758062292	1758414132	211117979	2538293	1232996217	1087342879	834418173	252924629
35	huffbench	2	80	0.8513761142	2.8095411771	4531423717	267	9213	341	390132862	390124388	2995642178	2995642152	66207076	1758062292	1758414132	211117979	2538293	1232996217	1087342879	834418173	252924629
36	huffbench	3	80	0.8514000558	2.8096201843	4531423717	267	9213	341	390132862	390124388	2995642178	2995642152	66207076	1758062292	1758414132	211117979	2538293	1232996217	1087342879	834418173	252924629
37	levenshtein	1	80	0.8371204521	2.7624974922	789668654	107	3688	51	55010321	55008681	494057290	494057276	4151353	193011355	193072845	24216647	8740232	245638060	174701906	142534429	32167460
38	levenshtein	2	80	0.8377399751	2.7645419181	789668654	107	3688	51	55010321	55008681	494057290	494057276	4151353	193011355	193072845	24216647	8740232	245638060	174701906	142534429	32167460
39	levenshtein	3	80	0.8381046087	2.7657452088	789668654	107	3688	51	55010321	55008681	494057290	494057276	4151353	193011355	193072845	24216647	8740232	245638060	174701906	142534429	32167460
40	ludcmp	1	80	0.8534973381	2.8165412159	303300344	220	7637	41	28357143	28355752	197374779	197374753	17616971	103795615	103819232	32989335	4468762	107758037	38568023	22269950	16298064
41	ludcmp	2	80	0.8533613716	2.8160925263	303300344	220	7637	41	28357143	28355752	197374779	197374753	17616971	103795615	103819232	32989335	4468762	107758037	38568023	22269950	16298064
42	ludcmp	3	80	0.8535234560	2.8166274048	303300344	220	7637	41	28357143	28355752	197374779	197374753	17616971	103795615	103819232	32989335	4468762	107758037	38568023	22269950	16298064
43	matmult_float	1	80	0.8553163707	2.8225440236	79253725	225	7787	158	6912310	6908297	53156034	53156030	4436346	25167704	25173917	8491873	1227985	31413973	8869367	4959926	3909438
44	matmult_float	2	80	0.8557308767	2.8239118932	79253725	225	7787	158	6912310	6908297	53156034	53156030	4436346	25167704	25173917	8491873	1227985	31413973	8869367	4959926	3909438
45	matmult_float	3	80	0.8560315394	2.8249040802	79253725	225	7787	158	6912310	6908297	53156034	53156030	4436346	25167704	25173917	8491873	1227985	31413973	8869367	4959926	3909438
46	miniz	1	80	0.8747528335	2.8866843508	11100840629	9108679	315785224	11142222	1749830081	1490291183	6435270219	6435299014	132784614	6426421122	6427291255	467459436	909063	2165674190	3041375345	2176941928	864435658
47	miniz	2	80	0.8748802714	2.8871048956	11100840629	9108679	315785224	11142222	1749830081	1490291183	6435270219	6435299014	132784614	6426421122	6427291255	467459436	909063	2165674190	3041375345	2176941928	864435658
48	miniz	3	80	0.8748859694	2.8871236991	11100840629	9108679	315785224	11142222	1749830081	1490291183	6435270219	6435299014	132784614	6426421122	6427291255	467459436	909063	2165674190	3041375345	2176941928	864435658
49	minver	1	80	0.8517152226	2.8106602348	128967950	265	9308	33	10071362	10072528	86513411	86532005	6485162	44057114	44076410	14404881	2083548	46431127	17624841	11005715	6624365
50	minver	2	80	0.8512992572	2.8092875488	128967950	265	9308	33	10071362	10072528	86513411	86532005	6485162	44057114	44076410	14404881	2083548	46431127	17624841	11005715	6624365
51	minver	3	80	0.8504043012	2.8063341941	128967950	265	9308	33	10071362	10072528	86513411	86532005	6485162	44057114	44076410	14404881	2083548	46431127	17624841	11005715	6624365
52	nbody	1	80	0.8397979405	2.7713332037	127126249	264	9276	50	11125570	11126516	93133101	93153490	5408118	31824587	31841449	13060454	1105849	65774972	9720610	5279963	4443747
53	nbody	2	80	0.8411060424	2.7756499399	127126249	264	9276	50	11125570	11126516	93133101	93153490	5408118	31824587	31841449	13060454	1105849	65774972	9720610	5279963	4443747
54	nbody	3	80	0.8407375116	2.7744337883	127126249	264	9276	50	11125570	11126516	93133101	93153490	5408118	31824587	31841449	13060454	1105849	65774972	9720610	5279963	4443747
55	ndes	1	80	0.8584035920	2.8327318538	633714210	191	6755	119	64217306	64215774	421957174	421975694	5361815	253635644	253696063	24339313	4023842	187958003	153573119	111992818	41580051
56	ndes	2	80	0.8588433111	2.8341829269	633714210	191	6755	119	64217306	64215774	421957174	421975694	5361815	253635644	253696063	24339313	4023842	187958003	153573119	111992818	41580051
57	ndes	3	80	0.8588911868	2.8343409164	633714210	191	6755	119	64217306	64215774	421957174	421975694	5361815	253635644	253696063	24339313	4023842	187958003	153573119	111992818	41580051
58	nettle-aes	1	80	0.8395816689	2.7706195073	580876036	276	9474	692	45051598	45037018	378086791	378105207	679694	155274481	155327065	4348295	53249	191201937	174626172	150500067	24136140
59	nettle-aes	2	80	0.8399567591	2.7718573051	580876036	276	9474	692	45051598	45037018	378086791	378105207	679694	155274481	155327065	4348295	53249	191201937	174626172	150500067	24136140
60	nettle-aes	3	80	0.8397127100	2.7710519431	580876036	276	9474	692	45051598	45037018	378086791	378105207	679694	155274481	155327065	4348295	53249	191201937	174626172	150500067	24136140
61	nettle-arcfour	1	80	0.8670905319	2.8613987553	327860422	80	2847	30	32113692	32115979	150868677	150881600	24640	152273997	152312910	4376979	20495	55203334	80467216	60680012	19795653
62	nettle-arcfour	2	80	0.8673913069	2.8623913129	327860422	80	2847	30	32113692	32115979	150868677	150881600	24640	152273997	152312910	4376979	20495	55203334	80467216	60680012	19795653
63	nettle-arcfour	3	80	0.8669483215	2.8609294610	327860422	80	2847	30	32113692	32115979	150868677	150881600	24640	152273997	152312910	4376979	20495	55203334	80467216	60680012	19795653
64	nettle-sha	1	80	0.8552544610	2.8223397216	75975791	398	13634	53	2885866	2885137	54545420	54565443	106209	20346437	20360042	515072	53173	32252387	21246000	18008145	3246835
65	nettle-sha	2	80	0.8546724142	2.8204189668	75975791	398	13634	53	2885866	2885137	54545420	54565443	106209	20346437	20360042	515072	53173	32252387	21246000	18008145	3246835
66	nettle-sha	3	80	0.8549527719	2.8213441471	75975791	398	13634	53	2885866	2885137	54545420	54565443	106209	20346437	20360042	515072	53173	32252387	21246000	18008145	3246835
67	newlib-exp	1	80	0.8638828872	2.8508135280	120230115	191	6649	24	12558391	12560343	77098916	77116716	7254571	43888191	43907703	13465200	1924642	42126844	14422992	7556619	6871268
68	newlib-exp	2	80	0.8630548079	2.8480808661	120230115	191	6649	24	12558391	12560343	77098916	77116716	7254571	43888191	43907703	13465200	1924642	42126844	14422992	7556619	6871268
69	newlib-exp	3	80	0.8636152057	2.8499301791	120230115	191	6649	24	12558391	12560343	77098916	77116716	7254571	43888191	43907703	13465200	1924642	42126844	14422992	7556619	6871268
70	newlib-log	1	80	0.8660968761	2.8581196914	90201666	198	6968	24	9616638	9618790	57707479	57725285	5348232	33506113	33523417	9822349	1482004	31328037	11075670	5832731	5242938
71	newlib-log	2	80	0.8660866054	2.8580857979	90201666	198	6968	24	9616638	9618790	57707479	57725285	5348232	33506113	33523417	9822349	1482004	31328037	11075670	5832731	5242938
72	newlib-log	3	80	0.8658606488	2.8573401414	90201666	198	6968	24	9616638	9618790	57707479	57725285	5348232	33506113	33523417	9822349	1482004	31328037	11075670	5832731	5242938
73	picojpeg	1	80	0.8737598099	2.8834073727	14372798438	1034372	38116777	197	3141813144	3141812646	7953030834	7953047015	38545453	10311871292	10312990428	286856778	114451666	3893415615	2872017862	1851294758	1020723378
74	picojpeg	2	80	0.8737011253	2.8832137135	14372798438	1034372	38116777	197	3141813144	3141812646	7953030834	7953047015	38545453	10311871292	10312990428	286856778	114451666	3893415615	2872017862	1851294758	1020723378
75	picojpeg	3	80	0.8738510285	2.8837083939	14372798438	1034372	38116777	197	3141813144	3141812646	7953030834	7953047015	38545453	10311871292	10312990428	286856778	114451666	3893415615	2872017862	1851294758	1020723378
76	qurt	1	80	0.8220371219	2.7127225022	219038247	260	9368	31	18586770	18587893	155986248	156006047	10496417	64323309	64348546	24730151	3087070	100534490	20234809	10505723	9732156
77	qurt	2	80	0.8224759309	2.7141705719	219038247	260	9368	31	18586770	18587893	155986248	156006047	10496417	64323309	64348546	24730151	3087070	100534490	20234809	10505723	9732156
78	qurt	3	80	0.8231081133	2.7162567741	219038247	260	9368	31	18586770	18587893	155986248	156006047	10496417	64323309	64348546	24730151	3087070	100534490	20234809	10505723	9732156
79	sglib_heap-arraybinsearch	1	80	0.8342957612	2.7531760121	164792419	75	2492	35	7885555	7885992	113017611	113036799	5938691	58840114	58852991	15859813	8221	35238242	41906225	32100340	9805881
80	sglib_heap-arraybinsearch	2	80	0.8350207094	2.7555683412	164792419	75	2492	35	7885555	7885992	113017611	113036799	5938691	58840114	58852991	15859813	8221	35238242	41906225	32100340	9805881
81	sglib_heap-arraybinsearch	3	80	0.8347335455	2.7546207002	164792419	75	2492	35	7885555	7885992	113017611	113036799	5938691	58840114	58852991	15859813	8221	35238242	41906225	32100340	9805881
82	sglib_heap-arrayheapsort	1	80	0.8493558013	2.8028741444	343321774	99	3362	61	15660740	15660258	234277169	234296299	12497543	123303767	123340209	18058728	8221	75162128	98553898	78000074	20553803
83	sglib_heap-arrayheapsort	2	80	0.8498170833	2.8043963750	343321774	99	3362	61	15660740	15660258	234277169	234296299	12497543	123303767	123340209	18058728	8221	75162128	98553898	78000074	20553803
84	sglib_heap-arrayheapsort	3	80	0.8497298320	2.8041084457	343321774	99	3362	61	15660740	15660258	234277169	234296299	12497543	123303767	123340209	18058728	8221	75162128	98553898	78000074	20553803
85	sglib_heap-arrayquicksort	1	80	0.8491675985	2.8022530753	341770308	99	3362	61	15590008	15589739	233218908	233237869	12441009	122746277	122783154	17977179	8177	74831700	98128579	77669816	20468449
86	sglib_heap-arrayquicksort	2	80	0.8496459077	2.8038314956	341770308	99	3362	61	15590008	15589739	233218908	233237869	12441009	122746277	122783154	17977179	8177	74831700	98128579	77669816	20468449
87	sglib_heap-arrayquicksort	3	80	0.8492479981	2.8025183938	341770308	99	3362	61	15590008	15589739	233218908	233237869	12441009	122746277	122783154	17977179	8177	74831700	98128579	77669816	20468449
88	sglib_heap-arraysort	1	80	0.8491733642	2.8022721020	343269750	99	3362	61	15658133	15658121	234241781	234260875	12495547	123284663	123321128	18056010	8213	75159778	98553895	78000081	20553807
89	sglib_heap-arraysort	2	80	0.8490180976	2.8017597221	343269750	99	3362	61	15658133	15658121	234241781	234260875	12495547	123284663	123321128	18056010	8213	75159778	98553895	78000081	20553807
90	sglib_heap-arraysort	3	80	0.8492601508	2.8025584978	343269750	99	3362	61	15658133	15658121	234241781	234260875	12495547	123284663	123321128	18056010	8213	75159778	98553895	78000081	20553807
91	sglib_heap-dllist	1	80	0.8720778378	2.8778568650	363199775	151	5205	117	38567547	38568202	218827656	218844362	8416282	184170931	184212079	25085834	1678762	43554735	116005145	85306902	30709072
92	sglib_heap-dllist	2	80	0.8725819803	2.8795205351	363199775	151	5205	117	38567547	38568202	218827656	218844362	8416282	184170931	184212079	25085834	1678762	43554735	116005145	85306902	30709072
93	sglib_heap-dllist	3	80	0.8723091427	2.8786201711	363199775	151	5205	117	38567547	38568202	218827656	218844362	8416282	184170931	184212079	25085834	1678762	43554735	116005145	85306902	30709072
94	sglib_heap-hashtable	1	80	0.8708065942	2.8736617609	246545701	131	4502	104	24404964	24405195	154369663	154386801	2645521	125422387	125456176	8964339	5283163	50573156	64369923	43460917	20918104
95	sglib_heap-hashtable	2	80	0.8709532943	2.8741458709	246545701	131	4502	104	24404964	24405195	154369663	154386801	2645521	125422387	125456176	8964339	5283163	50573156	64369923	43460917	20918104
