#Timestamp	Benchmark	Run(#)	CPU Frequency(MHz)	Samples(#)	Power[W](avg)	Energy[J](tot)	Current[A](tot)	time(tot)	icmiss(tot)	ichold(tot)	dcmiss(tot)	dchold(tot)	wbhold(tot)	ainst(tot)	iinst(tot)	bpmiss(tot)	ahbutil(tot)	ahbtutil(tot)	branch(tot)	call(tot)	type2(tot)	ldst(tot)	load(tot)	store(tot)
1	aha-compress	1	80	305	2.954098361	9.438283186	273	255598346	153	5347	32	23525637	23524666	155742804	155742799	1736757	156408655	156428626	8622197	299037	55501155	81137681	55070730	26066950
2	aha-mont	1	80	252	2.936507937	7.743349502	224	210953954	149	5240	29	26897695	26900426	117325867	117340902	4094771	115574055	115605599	7853116	85963	47801969	50207146	34851461	15364244
3	bubblesort	1	80	132	2.886363636	3.981288941	116	110347536	72	2517	35	8971929	8973138	68111338	68128524	2553976	38706312	38724656	3948389	789	26937104	33347531	26895794	6461743
4	ctl-stack	1	80	202	2.930693069	6.188523287	179	168929960	181	5975	78	12896530	12896002	102669337	102686153	1745450	72123554	72149106	6858316	1795625	30276861	53664446	41642254	12033145
5	ctl-string	1	80	189	2.772486772	5.473108574	159	157926339	162	5600	37	2515138	2513841	113327777	113327763	4088889	40955047	40967376	9611388	2723867	44974447	39027776	34320372	4707394
6	ctl-vector	1	80	150	2.973333333	4.637496404	135	124775688	196	6640	79	14849665	14850753	75021402	75038194	130833	62298383	62322169	4109668	1607376	24398458	38258410	27871375	10397824
7	dhrystone	1	80	1835	2.864305177	55.23924851	1593	1542831370	1256	44165	149	267960675	266057310	890738189	890747960	25247994	743553235	743681582	63504525	17001095	378533992	303511520	199509555	104004743
8	dtoa	1	80	155	2.883870968	4.613189493	135	127972147	477733	17475817	96	14564402	14564620	71141342	71156343	3351895	63025792	63049417	8306948	736139	38386758	18318514	11282384	7041625
9	edn	1	80	1376	2.831395349	40.92807891	1181	1156407322	217	7497	191	69014260	69009473	692385166	692385185	536832	468012916	468102916	18276872	49181	343241612	310448063	246583013	63865014
10	fasta	1	80	840	2.760714286	24.31575431	703	704622117	270	9460	79	55239370	55237054	455308028	455308044	40498178	203451535	203506453	83408011	11242523	258549453	71914712	40359616	31555085
11	fir	1	80	4674	2.969833119	145.9654075	4206	3931949080	101	3583	203	323525175	323520317	2085682156	2085681883	3014711	2482774444	2483080116	110579790	8221	617713880	1238161948	824368289	413793540
12	frac	1	80	1997	2.73760641	57.54888521	1657	1681728535	261	9324	42	151921099	151922517	1200190033	1200210298	75583611	456959877	457097884	170267156	18498874	817380139	137945351	73139070	64809632
13	huffbench	1	80	5387	2.809134794	159.1920382	4585	4533553563	267	9213	341	390315565	390307058	2997052076	2997052002	66238437	1758881180	1759233479	211217583	2539533	1233572947	1087855009	834810854	253044078
14	levenshtein	1	80	941	2.762765957	27.31124548	787	790837759	107	3688	51	55091745	55090104	494788785	494788764	4157492	193297063	193358624	24252526	8753172	246001744	174960548	142745462	32215078
15	ludcmp	1	80	361	2.817174515	10.68062499	308	303300344	220	7637	41	28357143	28355752	197374779	197374753	17616971	103795615	103819232	32989335	4468762	107758037	38568023	22269950	16298064
16	matmult_float	1	80	95	2.821052632	2.794736618	81	79253725	225	7787	158	6912310	6908297	53156034	53156030	4436346	25167704	25173917	8491873	1227985	31413973	8869367	4959926	3909438
17	miniz	1	80	13192	2.886647964	400.6651347	11537	11103955583	9111339	315877036	11145288	1750308630	1490713322	6437061394	6437079751	132819610	6428280390	6429158274	467587242	909343	2166271794	3042211221	2177526005	864685240
18	minver	1	80	154	2.811688312	4.53272097	131	128967950	265	9308	33	10071362	10072528	86513411	86532005	6485162	44057114	44076410	14404881	2083548	46431127	17624841	11005715	6624365
19	nbody	1	80	152	2.769736842	4.401328193	128	127126249	264	9276	50	11125570	11126516	93133101	93153490	5408118	31824587	31841449	13060454	1105849	65774972	9720610	5279963	4443747
