#Timestamp	Benchmark	Run(#)	CPU Frequency(MHz)	Samples(#)	Power[W](avg)	Energy[J](tot)	Current[A](tot)	time(tot)	icmiss(tot)	ichold(tot)	dcmiss(tot)	dchold(tot)	wbhold(tot)	ainst(tot)	iinst(tot)	bpmiss(tot)	ahbutil(tot)	ahbtutil(tot)	branch(tot)	call(tot)	type2(tot)	ldst(tot)	load(tot)	store(tot)
1	use_case_noopt	1	80	2149	2.606725829	59.08177822	1691	1813210352	387	13307	279412	23130982	16453433	1651603090	1651628784	20843111	55145600	55286460	81004592	44516605	1447501618	50093494	45654409	4439796
2	use_case_opt	1	80	1457	2.617667357	40.21334392	1149	1228982554	383	13104	280572	21866321	15162809	1095681819	1095707119	24041225	55249063	55344781	57110729	28570356	963185930	46945698	42493466	4453215
3	use_case_wcc_noopt	1	80	2235	2.700896861	63.61423339	1825	1884240285	399	13533	280255	80360245	73665340	1125670506	1125670531	6615799	434479880	434626071	39734174	23417	547199850	470668961	403012222	67656754
4	use_case_wcc_opt	1	80	1861	2.822258239	55.01950356	1583	1559588072	395	13509	280245	109446253	102653554	880927085	880943193	6650228	719000020	719133837	26991568	23380	380478815	418230695	315053061	103186947
5	use_case_noopt	2	80	2147	2.608756404	59.14519816	1697	1813743838	387	13439	279535	23139707	16458840	1651989226	1651989250	20847242	55168218	55308685	81017819	44522679	1447680052	50100814	45659591	4441206
6	use_case_opt	2	80	1456	2.616391185	40.19171313	1151	1228920610	383	13105	280572	21866118	15162773	1095625750	1095651078	24039977	55247972	55343631	57107899	28568881	963136371	46943494	42491369	4453134
7	use_case_wcc_noopt	2	80	2200	2.699543379	63.5771832	1791	1884087026	399	13532	280223	80345958	73653373	1125612367	1125629142	6615693	434466938	434623785	39734115	23417	547199797	470668924	403012154	67656740
8	use_case_wcc_opt	2	80	1876	2.821925134	55.02137159	1599	1559825126	395	13508	280250	109457709	102664704	881063472	881079506	6651319	719103327	719238017	26995526	23380	380535665	418292663	315092545	103200142
9	use_case_noopt	3	80	2155	2.60744186	59.10948829	1699	1813562609	387	13293	279415	23131208	16453477	1651928087	1651953789	20847173	55168251	55309190	81017795	44522686	1447680091	50100815	45659615	4441211
10	use_case_opt	3	80	1453	2.617421603	40.22456094	1138	1229440787	383	13104	280576	21866719	15162899	1096087487	1096087889	24048982	55273994	55368993	57125787	28576924	963385121	46955916	42501190	4454729
11	use_case_wcc_noopt	3	80	2243	2.697809566	63.53674175	1829	1884098642	399	13533	280223	80347212	73653899	1125618846	1125635615	6615796	434472806	434626844	39734286	23417	547199944	470669061	403012337	67656737
12	use_case_wcc_opt	3	80	1859	2.822641509	55.02451032	1587	1559518207	395	13511	280246	109443572	102650776	880886455	880902460	6649927	718969243	719102943	26990449	23380	380460841	418211716	315038517	103182428
