#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.85240	-0.03664	1.30138
2	2.85240	0.28914	9.20379
3	2.85240	0.27907	8.91192
4	2.85240	0.29097	9.25666
5	2.85240	-0.22973	8.75960
6	2.85240	-0.24529	9.40859
7	2.85240	-0.25536	9.83267
8	2.85240	-0.25170	9.67808
9	2.85240	-0.26725	10.33811
10	2.85240	-0.25719	9.91013
11	2.85240	-0.25810	9.94890
12	2.85240	-0.24804	9.52393
13	2.85240	-0.25902	9.98770
14	2.85240	-0.25902	9.98770
15	2.85240	-0.26085	10.06538
16	2.85240	-0.24895	9.56243
17	2.85240	-0.24987	9.60095
18	2.85240	-0.25719	9.91013
19	2.85240	-0.25353	9.75532
20	2.85240	0.23698	7.67076
21	2.85240	-0.24163	9.25520
22	2.85240	-0.25078	9.63950
23	2.85240	-0.26085	10.06538
24	2.85240	-0.24895	9.56243
25	2.85240	-0.26085	10.06538
26	2.85240	-0.24712	9.48546
27	2.85240	-0.23431	8.94968
28	2.85240	-0.24987	9.60095
29	2.85240	-0.24712	9.48546
30	2.85240	-0.26268	10.14316
31	2.85240	-0.25536	9.83267
32	2.85240	-0.25078	9.63950
33	2.85240	-0.25078	9.63950
34	2.85240	-0.25719	9.91013
35	2.85240	-0.04396	1.56545
36	2.85240	-0.24804	9.52393
37	2.85240	-0.24895	9.56243
38	2.85240	-0.26542	10.26005
39	2.85240	-0.25627	9.87139
40	2.85240	-0.25536	9.83267
41	2.85240	-0.25353	9.75532
42	2.85240	-0.25353	9.75532
43	2.85240	-0.25353	9.75532
44	2.85240	-0.24987	9.60095
45	2.85240	-0.25078	9.63950
46	2.85240	-0.23431	8.94968
47	2.85240	-0.24987	9.60095
48	2.85240	-0.26268	10.14316
49	2.85240	-0.25536	9.83267
50	2.85240	-0.26725	10.33811
51	2.85240	-0.24438	9.37020
52	2.85240	-0.25353	9.75532
53	2.85240	-0.25810	9.94890
54	2.85240	-0.24163	9.25520
55	2.85240	-0.24621	9.44701
56	2.85240	-0.25627	9.87139
57	2.85240	-0.24987	9.60095
58	2.85240	-0.25444	9.79398
59	2.85240	-0.26085	10.06538
60	2.85240	-0.24346	9.33184
61	2.85240	-0.25261	9.71669
62	2.85240	-0.25170	9.67808
63	2.85240	-0.24712	9.48546
64	2.85240	0.21959	7.14818
65	2.85240	-0.24712	9.48546
66	2.85240	-0.24438	9.37020
67	2.85240	-0.24987	9.60095
68	2.85240	-0.25810	9.94890
69	2.85240	-0.26085	10.06538
70	2.85240	-0.25810	9.94890
71	2.85240	-0.24621	9.44701
72	2.85240	-0.24621	9.44701
73	2.85240	-0.24346	9.33184
74	2.85240	-0.24346	9.33184
75	2.85240	-0.25810	9.94890
76	2.85240	-0.24346	9.33184
77	2.85240	-0.23523	8.98778
78	2.85240	-0.25810	9.94890
79	2.85240	-0.25078	9.63950
80	2.85240	-0.26817	10.37719
81	2.85240	-0.24712	9.48546
82	2.85240	-0.24255	9.29350
83	2.85240	-0.25993	10.02652
84	2.85240	-0.25261	9.71669
85	2.85240	-0.24621	9.44701
86	2.85240	-0.26268	10.14316
87	2.85240	-0.24255	9.29350
88	2.85240	-0.23889	9.14043
89	2.85240	-0.25536	9.83267
90	2.85240	-0.24621	9.44701
91	2.85240	-0.24987	9.60095
92	2.85240	-0.23248	8.87357
93	2.85240	0.24338	7.86181
94	2.85240	-0.24804	9.52393
95	2.85240	-0.24621	9.44701
96	2.85240	-0.24712	9.48546
97	2.85240	-0.25536	9.83267
98	2.85240	-0.25261	9.71669
99	2.85240	-0.24529	9.40859
100	2.85240	-0.24255	9.29350
101	2.85240	-0.23157	8.83556
102	2.85240	-0.24804	9.52393
103	2.85240	-0.26268	10.14316
104	2.85240	-0.24895	9.56243
105	2.85240	-0.25719	9.91013
106	2.85240	-0.25810	9.94890
107	2.85240	-0.26176	10.10426
108	2.85240	-0.24072	9.21691
109	2.85240	-0.24895	9.56243
110	2.85240	-0.23980	9.17866
111	2.85240	-0.24621	9.44701
112	2.85240	-0.24804	9.52393
113	2.85240	-0.25078	9.63950
114	2.85240	-0.24804	9.52393
115	2.85240	-0.22973	8.75960
116	2.85240	-0.25170	9.67808
117	2.85240	-0.24163	9.25520
118	2.85240	-0.25261	9.71669
119	2.85240	-0.24621	9.44701
120	2.85240	-0.25536	9.83267
121	2.85240	-0.23980	9.17866
122	2.85240	0.20861	6.81507
123	2.85240	-0.24895	9.56243
124	2.85240	-0.24346	9.33184
125	2.85240	-0.25536	9.83267
126	2.85240	-0.25536	9.83267
127	2.85240	-0.25261	9.71669
128	2.85240	-0.23889	9.14043
129	2.85240	-0.24163	9.25520
130	2.85240	-0.24255	9.29350
131	2.85240	-0.25353	9.75532
132	2.85240	-0.24529	9.40859
133	2.85240	-0.25902	9.98770
134	2.85240	-0.25353	9.75532
135	2.85240	-0.24346	9.33184
136	2.85240	-0.25444	9.79398
137	2.85240	-0.24529	9.40859
138	2.85240	-0.24712	9.48546
139	2.85240	-0.25444	9.79398
140	2.85240	-0.23523	8.98778
141	2.85240	-0.25902	9.98770
142	2.85240	-0.24255	9.29350
143	2.85240	-0.25810	9.94890
144	2.85240	-0.26176	10.10426
145	2.85240	-0.24072	9.21691
146	2.85240	-0.26085	10.06538
147	2.85240	-0.25170	9.67808
148	2.85240	-0.24895	9.56243
149	2.85240	-0.24438	9.37020
150	2.85240	-0.26176	10.10426
151	2.85240	0.23515	7.61603
152	2.85240	-0.24987	9.60095
153	2.85240	-0.25536	9.83267
154	2.85240	-0.25261	9.71669
155	2.85240	-0.24712	9.48546
156	2.85240	-0.25261	9.71669
157	2.85240	-0.25353	9.75532
158	2.85240	-0.25170	9.67808
159	2.85240	-0.24163	9.25520
160	2.85240	-0.24255	9.29350
161	2.85240	-0.23980	9.17866
162	2.85240	-0.25719	9.91013
163	2.85240	-0.24346	9.33184
164	2.85240	-0.25719	9.91013
165	2.85240	-0.23797	9.10223
166	2.85240	-0.25353	9.75532
167	2.85240	-0.24804	9.52393
168	2.85240	-0.24438	9.37020
169	2.85240	-0.25627	9.87139
170	2.85240	-0.25078	9.63950
171	2.85240	-0.25536	9.83267
172	2.85240	-0.25902	9.98770
173	2.85240	-0.24621	9.44701
174	2.85240	-0.24804	9.52393
175	2.85240	-0.25078	9.63950
176	2.85240	-0.24529	9.40859
177	2.85240	-0.24072	9.21691
178	2.85240	-0.25078	9.63950
179	2.85240	-0.23889	9.14043
180	2.85240	0.23881	7.72542
181	2.85240	-0.25170	9.67808
182	2.85240	-0.24529	9.40859
183	2.85240	-0.25719	9.91013
184	2.85240	-0.24987	9.60095
185	2.85240	-0.25719	9.91013
186	2.85240	-0.23797	9.10223
187	2.85240	-0.25170	9.67808
188	2.85240	-0.23706	9.06405
189	2.85240	-0.23523	8.98778
190	2.85240	-0.24987	9.60095
191	2.85240	-0.24621	9.44701
192	2.85240	-0.25170	9.67808
193	2.85240	-0.25353	9.75532
194	2.85240	-0.25627	9.87139
195	2.85240	-0.24072	9.21691
196	2.85240	-0.24621	9.44701
197	2.85240	-0.24346	9.33184
