#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.85240	-0.03298	1.16986
2	2.85240	0.11252	3.79510
3	2.85240	0.13540	4.53176
4	2.85240	0.12533	4.20902
5	2.85240	0.13906	4.64858
6	2.85240	0.12350	4.15011
7	2.85240	0.13174	4.41465
8	2.85240	0.14455	4.82327
9	2.85240	0.12625	4.23845
10	2.85240	0.12899	4.32663
11	2.85240	0.11710	3.94334
12	2.85240	0.13998	4.67774
13	2.85240	0.13540	4.53176
14	2.85240	0.15004	4.99733
15	2.85240	0.12625	4.23845
16	2.85240	0.13082	4.38533
17	2.85240	0.13174	4.41465
18	2.85240	0.13174	4.41465
19	2.85240	0.13723	4.59020
20	2.85240	0.12625	4.23845
21	2.85240	0.13723	4.59020
22	2.85240	0.12259	4.12062
23	2.85240	0.14547	4.85233
24	2.85240	0.11893	4.00251
25	2.85240	0.14547	4.85233
26	2.85240	0.12808	4.29726
27	2.85240	0.13815	4.61940
28	2.85240	0.12808	4.29726
29	2.85240	0.12076	4.06160
30	2.85240	0.14272	4.76511
31	2.85240	0.11710	3.94334
32	2.85240	0.14181	4.73600
33	2.85240	0.11801	3.97293
34	2.85240	0.14547	4.85233
35	2.85240	0.11893	4.00251
36	2.85240	0.13357	4.47324
37	2.85240	0.13540	4.53176
38	2.85240	0.13815	4.61940
39	2.85240	0.14272	4.76511
40	2.85240	0.12533	4.20902
41	2.85240	0.13815	4.61940
42	2.85240	0.12076	4.06160
43	2.85240	0.14181	4.73600
44	2.85240	0.11801	3.97293
45	2.85240	0.15096	5.02627
46	2.85240	0.12899	4.32663
47	2.85240	0.13357	4.47324
48	2.85240	0.13265	4.44395
49	2.85240	0.12442	4.17957
50	2.85240	0.13448	4.50251
51	2.85240	0.11344	3.82478
52	2.85240	0.15736	5.22841
53	2.85240	0.10337	3.49724
54	2.85240	0.13906	4.64858
55	2.85240	0.12076	4.06160
56	2.85240	0.14547	4.85233
57	2.85240	0.13631	4.56099
58	2.85240	0.11984	4.03206
59	2.85240	0.13998	4.67774
60	2.85240	0.12076	4.06160
61	2.85240	0.12991	4.35599
62	2.85240	0.11435	3.85445
63	2.85240	0.12442	4.17957
64	2.85240	0.10520	3.55696
65	2.85240	0.12350	4.15011
66	2.85240	0.10795	3.64640
67	2.85240	0.12350	4.15011
68	2.85240	0.12625	4.23845
69	2.85240	0.10886	3.67618
70	2.85240	0.11893	4.00251
71	2.85240	0.10978	3.70594
72	2.85240	0.12991	4.35599
73	2.85240	0.10795	3.64640
74	2.85240	0.11893	4.00251
75	2.85240	0.10520	3.55696
76	2.85240	0.12808	4.29726
77	2.85240	0.11618	3.91373
78	2.85240	0.11984	4.03206
79	2.85240	0.12076	4.06160
80	2.85240	0.11801	3.97293
81	2.85240	0.13174	4.41465
82	2.85240	0.09605	3.25763
83	2.85240	0.13174	4.41465
84	2.85240	0.09056	3.07713
85	2.85240	0.12350	4.15011
86	2.85240	0.09696	3.28764
87	2.85240	0.11618	3.91373
88	2.85240	0.11161	3.76540
89	2.85240	0.11527	3.88410
90	2.85240	0.10886	3.67618
91	2.85240	0.10429	3.52711
