#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.82026	-0.00085	0.03021
2	2.94900	0.01592	0.53687
3	2.94125	0.04654	1.55775
4	2.95175	0.02598	0.87239
5	2.95186	0.03959	1.32357
6	2.92923	0.04667	1.56818
7	2.95575	0.02839	0.95135
8	2.95881	0.03813	1.27242
9	2.95326	0.02539	0.85235
10	2.94689	0.03450	1.15727
11	2.93913	0.03037	1.02265
12	2.95045	0.04193	1.40108
13	2.94636	0.04144	1.38693
14	2.93909	0.06335	2.10987
15	2.94324	0.03540	1.18849
16	2.93978	0.04344	1.45609
17	2.94983	0.03431	1.14961
18	2.94933	0.03481	1.16637
19	2.95504	0.03458	1.15676
20	2.94019	0.03845	1.29098
21	2.94996	0.03966	1.32665
22	2.94156	0.03343	1.12365
23	2.95047	0.04739	1.58076
24	2.94725	0.02407	0.81013
25	2.93532	0.06255	2.08639
26	2.93876	0.04171	1.39945
27	2.94266	0.04789	1.60123
28	2.94438	0.03609	1.21102
29	2.93741	0.03574	1.20213
30	2.94915	0.04596	1.53458
31	2.94377	0.02572	0.86617
32	2.94129	0.05291	1.76698
33	2.93406	0.03635	1.22379
34	2.93719	0.06067	2.02385
35	2.94184	0.02948	0.99218
36	2.93363	0.05234	1.75289
37	2.92737	0.06043	2.02249
38	2.93363	0.05691	1.90305
39	2.94676	0.04835	1.61446
40	2.94670	0.03103	1.04194
41	2.93941	0.05113	1.70970
42	2.94295	0.03020	1.01587
43	2.93868	0.05552	1.85425
44	2.94059	0.02982	1.00393
45	2.93438	0.06897	2.29638
46	2.93548	0.04591	1.53988
47	2.94446	0.04151	1.39016
48	2.93866	0.04639	1.55406
49	2.93698	0.03983	1.33811
50	2.94186	0.04502	1.50740
51	2.93368	0.03215	1.08405
52	2.94609	0.06367	2.11533
53	2.93796	0.01781	0.60260
54	2.93974	0.05171	1.72867
55	2.94907	0.02408	0.80989
56	2.94446	0.05340	1.78120
57	2.94920	0.03951	1.32211
58	2.95230	0.01994	0.67082
59	2.94876	0.04361	1.45748
60	2.94529	0.02786	0.93718
61	2.94395	0.03835	1.28601
62	2.94974	0.01701	0.57342
63	2.94604	0.03077	1.03377
64	2.94953	0.00807	0.27272
65	2.94956	0.02634	0.88515
66	2.95141	0.00893	0.30159
67	2.95504	0.02086	0.70080
68	2.96636	0.01228	0.41241
69	2.94766	0.01360	0.45929
70	2.93864	0.03269	1.10002
71	2.94474	0.01744	0.58864
72	2.93539	0.04692	1.57316
73	2.94264	0.01770	0.59795
74	2.94619	0.02514	0.84597
75	2.94825	0.00935	0.31602
76	2.93302	0.04745	1.59210
77	2.92342	0.04516	1.52125
78	2.92496	0.04728	1.59071
79	2.92907	0.04408	1.48275
80	2.94280	0.02761	0.92941
81	2.93508	0.04905	1.64383
82	2.93447	0.01397	0.47391
83	2.94281	0.04133	1.38485
84	2.94009	0.00286	0.09731
85	2.92518	0.05072	1.70436
86	2.95024	-0.00088	0.02974
87	2.93743	0.03114	1.04914
88	2.93832	0.02569	0.86661
89	2.94454	0.02312	0.77915
90	2.94678	0.01448	0.48900
91	2.93904	0.01764	0.59673
92	2.94393	0.03197	1.07438
93	2.94225	0.01260	0.42641
94	2.94575	0.03747	1.25592
95	2.95194	-0.00899	0.30543
96	2.94090	0.03774	1.26712
97	2.93600	0.00878	0.29818
98	2.94064	0.02794	0.94127
99	2.93413	0.03079	1.03857
100	2.93414	0.02529	0.85459
101	2.93783	0.03533	1.18814
102	2.94244	0.01241	0.41996
103	2.93154	0.03429	1.15620
104	2.92947	-0.00115	0.03938
105	2.92798	0.02412	0.81713
106	2.93910	0.00385	0.13094
107	2.93347	0.03511	1.18256
108	2.94365	0.00663	0.22466
109	2.93415	0.03443	1.15978
110	2.93095	0.03031	1.02355
111	2.94776	0.00343	0.11630
112	2.94469	0.02663	0.89632
113	2.94816	-0.00520	0.17676
114	2.94686	0.03270	1.09737
115	2.93888	0.00041	0.01399
116	2.93566	0.04664	1.56405
117	2.93581	0.00623	0.21164
118	2.93650	0.02476	0.83614
119	2.93311	0.02632	0.88923
120	2.94775	0.03364	1.12848
121	2.94912	-0.00250	0.08495
122	2.94869	-0.00116	0.03942
123	2.95629	-0.00784	0.26596
124	2.93577	-0.01112	0.38006
125	2.93510	0.02981	1.00559
126	2.94632	-0.00703	0.23912
127	2.94178	0.02131	0.71920
128	2.94668	0.00268	0.09086
129	2.93467	0.03483	1.17278
130	2.93974	0.03158	1.06292
131	2.95100	0.00751	0.25380
132	2.93570	0.02190	0.74035
133	2.94674	-0.00836	0.28466
134	2.94252	0.02606	0.87782
135	2.93064	-0.00233	0.07960
136	2.92856	0.03087	1.04318
137	2.92643	0.01469	0.49964
138	2.94630	0.01496	0.50516
139	2.94714	0.00497	0.16831
140	2.93625	0.02684	0.90587
141	2.94948	0.00812	0.27460
142	2.93610	0.01234	0.41867
143	2.94668	0.01366	0.46158
144	2.95017	-0.01271	0.43253
145	2.93853	0.02730	0.92065
146	2.94446	-0.02073	0.70890
147	2.93616	0.02052	0.69397
148	2.93063	0.00043	0.01476
149	2.94865	0.01718	0.57943
150	2.95472	-0.00536	0.18180
151	2.93853	0.02364	0.79821
152	2.95068	0.01150	0.38813
153	2.94820	-0.00067	0.02285
154	2.93519	0.02332	0.78830
155	2.95136	-0.01389	0.47291
156	2.93264	0.02953	0.99687
157	2.93335	-0.00046	0.01572
158	2.93281	0.02479	0.83822
159	2.94256	0.00954	0.32330
160	2.94146	0.02345	0.79106
161	2.94212	0.00816	0.27654
162	2.94094	0.00933	0.31635
163	2.93725	0.02859	0.96386
164	2.92896	0.02040	0.69163
165	2.93519	0.01418	0.48064
166	2.93979	-0.00416	0.14173
167	2.94043	0.01350	0.45710
168	2.93090	-0.00167	0.05695
169	2.93782	0.01520	0.51461
170	2.94244	0.00235	0.07974
171	2.94084	0.00944	0.31990
172	2.93913	-0.00532	0.18147
173	2.94687	0.00249	0.08449
174	2.93552	0.02208	0.74658
175	2.92875	0.02152	0.72952
176	2.94526	-0.00414	0.14070
177	2.93802	-0.01063	0.36302
178	2.93833	0.01561	0.52849
179	2.94318	0.00252	0.08550
180	2.95444	-0.00050	0.01700
181	2.94525	-0.00413	0.14031
182	2.94335	-0.00039	0.01328
183	2.94027	0.00635	0.21548
184	2.94581	0.00721	0.24431
185	2.94598	0.02168	0.73056
186	2.93741	-0.00452	0.15427
187	2.94117	0.01460	0.49379
188	2.94901	-0.00606	0.20575
189	2.94139	0.01987	0.67102
190	2.93946	-0.01115	0.38072
191	2.95174	0.00768	0.25964
192	2.94235	0.00884	0.29951
193	2.95183	-0.00339	0.11490
194	2.94846	0.00365	0.12351
195	2.93960	-0.00854	0.29126
196	2.94644	0.01207	0.40807
197	2.95207	-0.03657	1.25440
198	2.93948	0.01811	0.61244
199	2.93952	-0.00389	0.13253
200	2.94371	0.01114	0.37715
201	2.94864	-0.00660	0.22429
202	2.93213	0.01357	0.46079
203	2.92800	0.00946	0.32213
204	2.93299	0.01271	0.43145
205	2.94362	0.00483	0.16376
206	2.93507	-0.00401	0.13675
207	2.94822	0.00388	0.13160
208	2.94896	-0.02431	0.83120
209	2.93581	0.01447	0.49048
210	2.94704	-0.01964	0.67083
211	2.94272	0.00939	0.31806
212	2.94947	-0.01017	0.34610
213	2.94712	-0.00508	0.17279
214	2.93922	0.00831	0.28193
215	2.94986	-0.00416	0.14106
216	2.94321	0.00341	0.11564
217	2.94499	-0.00935	0.31866
218	2.94304	0.01090	0.36893
219	2.94947	-0.02299	0.78563
220	2.94809	0.00768	0.25986
221	2.94259	-0.01336	0.45601
222	2.93226	0.01710	0.57973
223	2.92535	0.02310	0.78335
224	2.93660	0.00910	0.30882
225	2.91990	0.01848	0.62880
226	2.92994	0.00477	0.16269
227	2.93772	0.01896	0.64130
228	2.94808	-0.01520	0.51812
229	2.94740	-0.00170	0.05768
230	2.93124	-0.00568	0.19398
231	2.94446	0.00032	0.01093
232	2.94209	-0.00554	0.18853
233	2.94725	0.00120	0.04057
234	2.94616	-0.00046	0.01552
235	2.93713	-0.00333	0.11347
236	2.93543	0.00478	0.16256
237	2.93987	-0.00240	0.08180
238	2.93867	0.00337	0.11467
239	2.94233	-0.03415	1.17438
240	2.93558	0.01195	0.40530
241	2.93067	-0.00876	0.29977
242	2.95010	-0.00714	0.24269
243	2.93504	0.01707	0.57817
244	2.94641	-0.01352	0.46100
245	2.93836	0.00276	0.09401
246	2.93653	-0.00730	0.24921
247	2.94168	-0.00330	0.11248
248	2.94764	-0.03031	1.03892
249	2.93124	0.01629	0.55272
250	2.93017	0.00455	0.15517
251	2.95346	-0.01142	0.38830
252	2.94625	-0.02892	0.99116
253	2.94396	-0.00192	0.06526
254	2.94353	-0.00149	0.05081
255	2.93409	0.00978	0.33214
256	2.93089	0.00200	0.06819
257	2.95503	-0.03038	1.03877
258	2.93919	-0.00264	0.08985
259	2.93712	-0.02162	0.74158
260	2.95319	-0.01572	0.53527
261	2.95129	-0.02023	0.69023
262	2.95763	-0.00553	0.18728
263	2.93840	-0.00826	0.28192
264	2.92557	0.01830	0.62161
265	2.93035	0.00254	0.08650
266	2.92357	0.00017	0.00577
267	2.92516	0.00681	0.23223
268	2.92662	-0.00563	0.19275
269	2.92786	0.02424	0.82120
270	2.94296	-0.02563	0.87851
271	2.94149	-0.00311	0.10590
272	2.94524	-0.03431	1.17872
273	2.93967	0.00237	0.08066
274	2.93554	-0.00540	0.18432
