#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.80975	0.00600	0.21312
2	2.96897	0.17257	5.49303
3	2.94464	0.18683	5.96624
4	2.67579	0.46758	14.87511
5	2.68234	-0.05968	2.27536
6	2.58852	0.01858	0.71271
7	2.59125	0.00579	0.22296
8	2.59071	0.00998	0.38390
9	2.58937	-0.00423	0.16375
10	2.59010	0.00511	0.19701
11	2.59060	0.00369	0.14221
12	2.58946	0.01490	0.57218
13	2.58866	0.00471	0.18179
14	2.58851	0.00487	0.18783
15	2.58975	0.00180	0.06932
16	2.58820	0.01524	0.58556
17	2.59015	0.01238	0.47556
18	2.59117	0.00403	0.15543
19	2.71707	-0.11821	4.54838
20	2.63637	0.45300	14.66317
21	2.59012	0.02065	0.79086
22	2.59043	0.01119	0.42993
23	2.59092	0.00063	0.02437
24	2.58944	0.01401	0.53807
25	2.58904	0.00251	0.09676
26	2.58915	0.01612	0.61872
27	2.59038	0.02771	1.05840
28	2.58899	0.01354	0.52010
29	2.58916	0.01611	0.61843
30	2.58925	0.00047	0.01803
31	2.58872	0.00831	0.32016
32	2.58951	0.01210	0.46525
33	2.58713	0.01449	0.55684
34	2.76312	-0.16791	6.46995
35	2.58791	0.22052	7.85216
36	2.58858	0.01578	0.60600
37	2.59029	0.01315	0.50523
38	2.59075	-0.00378	0.14599
39	2.58773	0.00839	0.32325
40	2.59096	0.00608	0.23400
41	2.58989	0.00898	0.34537
42	2.59006	0.00881	0.33908
43	2.59024	0.00862	0.33185
44	2.58925	0.01328	0.51010
45	2.59040	0.01121	0.43100
46	2.59028	0.02781	1.06223
47	2.58968	0.01285	0.49373
48	2.60565	-0.01593	0.61527
49	2.74823	-0.15119	5.82159
50	2.59007	-0.00493	0.19055
51	2.58998	0.01804	0.69185
52	2.58745	0.01142	0.43945
53	2.59010	0.00420	0.16178
54	2.58944	0.02133	0.81691
55	2.58947	0.01671	0.64135
56	2.58847	0.00765	0.29482
57	2.58932	0.01321	0.50743
58	2.58842	0.00954	0.36708
59	2.58864	0.00291	0.11227
60	2.58851	0.02043	0.78303
61	2.58993	0.00985	0.37883
62	2.58882	0.01188	0.45671
63	2.72000	-0.11472	4.40347
64	2.63666	0.43532	14.17073
65	2.59029	0.01499	0.57519
66	2.59081	0.01721	0.65992
67	2.58944	0.01309	0.50311
68	2.58964	0.00466	0.17947
69	2.58936	0.00219	0.08454
70	2.59065	0.00365	0.14050
71	2.58916	0.01703	0.65332
72	2.59009	0.01610	0.61793
73	2.59113	0.01780	0.68234
74	2.58963	0.01931	0.74002
75	2.58884	0.00545	0.21016
76	2.58846	0.02047	0.78469
77	2.58836	0.02881	1.10099
78	2.75584	-0.16155	6.22719
79	2.59859	0.00303	0.11635
80	2.58931	-0.00508	0.19661
81	2.58917	0.01611	0.61827
82	2.59054	0.01931	0.73974
83	2.59002	0.00245	0.09436
84	2.58884	0.01095	0.42102
85	2.59012	0.01607	0.61676
86	2.58921	0.00050	0.01943
87	2.59029	0.01955	0.74928
88	2.58753	0.02598	0.99390
89	2.58902	0.00802	0.30889
90	2.59090	0.01529	0.58678
91	2.59017	0.01236	0.47491
92	2.59080	0.02911	1.11119
93	2.76587	0.32991	10.65688
94	2.58999	0.01437	0.55173
95	2.58885	0.01734	0.66527
96	2.58926	0.01601	0.61460
97	2.58887	0.00817	0.31441
98	2.58898	0.01080	0.41561
99	2.58857	0.01853	0.71093
100	2.58830	0.02155	0.82575
101	2.59066	0.03017	1.15104
102	2.59053	0.01383	0.53111
103	2.58863	0.00108	0.04187
104	2.58861	0.01483	0.56982
105	2.59039	0.00482	0.18562
106	2.58892	0.00537	0.20702
107	2.64024	-0.04960	1.91469
108	2.71460	-0.10292	3.94081
109	2.59017	0.01328	0.51002
110	2.58768	0.02492	0.95366
111	2.58950	0.01669	0.64038
112	2.59075	0.01360	0.52237
113	2.58907	0.01254	0.48215
114	2.58756	0.01680	0.64512
115	2.58981	0.03286	1.25279
116	2.58999	0.01070	0.41161
117	2.58839	0.02238	0.85705
118	2.58972	0.01007	0.38722
119	2.58975	0.01644	0.63076
120	2.58910	0.00794	0.30565
121	2.59005	0.02254	0.86278
122	2.73233	0.32868	10.73749
123	2.62290	-0.01946	0.74734
124	2.58767	0.02126	0.81498
125	2.58955	0.00749	0.28849
126	2.58996	0.00708	0.27263
127	2.58733	0.01245	0.47907
128	2.58888	0.02463	0.94253
129	2.58978	0.02098	0.80373
130	2.58733	0.02252	0.86289
131	2.58963	0.00924	0.35554
132	2.58882	0.01828	0.70124
133	2.58879	0.00459	0.17697
134	2.59016	0.00871	0.33517
135	2.58903	0.01990	0.76277
136	2.60474	-0.00679	0.26128
137	2.67228	-0.06517	2.49976
138	2.58825	0.01702	0.65340
139	2.58985	0.00810	0.31176
140	2.58847	0.02870	1.09658
141	2.59040	0.00298	0.11500
142	2.59025	0.01960	0.75115
143	2.58885	0.00544	0.20963
144	2.58907	0.00156	0.06033
145	2.59036	0.02132	0.81640
146	2.58684	0.00471	0.18170
147	2.58811	0.01259	0.48407
148	2.58984	0.01360	0.52251
149	2.59116	0.01686	0.64633
150	2.58870	0.00193	0.07466
151	2.68793	0.39962	12.94284
152	2.58810	0.01443	0.55430
153	2.59021	0.00683	0.26289
154	2.59009	0.00970	0.37293
155	2.58679	0.01849	0.70964
156	2.59028	0.00951	0.36568
157	2.58938	0.00949	0.36507
158	2.59013	0.01057	0.40636
159	2.59077	0.02000	0.76591
160	2.58740	0.02245	0.86039
161	2.58957	0.02302	0.88123
162	2.59030	0.00490	0.18898
163	2.58904	0.01990	0.76268
164	2.59054	0.00467	0.17985
165	2.63649	-0.02207	0.84411
166	2.71673	-0.11786	4.53502
167	2.58963	0.01473	0.56575
168	2.59123	0.01679	0.64394
169	2.59130	0.00483	0.18588
170	2.59079	0.01082	0.41589
171	2.58810	0.00894	0.34410
172	2.58895	0.00443	0.17076
173	2.58785	0.01834	0.70359
174	2.58950	0.01486	0.57056
175	2.59035	0.01126	0.43284
176	2.58919	0.01792	0.68725
177	2.59052	0.02116	0.81024
178	2.58821	0.01341	0.51540
179	2.58932	0.02420	0.92578
180	2.71593	0.37527	12.14004
181	2.63971	-0.03901	1.50014
182	2.58911	0.01800	0.69025
183	2.59065	0.00456	0.17576
184	2.58987	0.01265	0.48625
185	2.58959	0.00561	0.21632
