#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.86075	-0.04134	1.46625
2	3.00140	-0.03648	1.23049
3	2.98958	-0.00179	0.05982
4	3.00405	-0.02632	0.88384
5	3.00435	-0.01289	0.43104
6	2.97632	-0.00042	0.01415
7	3.00854	-0.02440	0.81779
8	3.01363	-0.01668	0.55671
9	3.00559	-0.02694	0.90444
10	2.99831	-0.01692	0.56763
11	2.98897	-0.01947	0.65583
12	3.00103	-0.00866	0.28933
13	2.99840	-0.01060	0.35478
14	2.98727	0.01517	0.50531
15	2.99479	-0.01615	0.54204
16	2.98771	-0.00449	0.15055
17	3.00222	-0.01809	0.60610
18	3.00177	-0.01764	0.59103
19	3.00798	-0.01836	0.61406
20	2.98903	-0.01038	0.34859
21	3.00130	-0.01168	0.39063
22	2.99357	-0.01858	0.62458
23	3.00234	-0.00447	0.14926
24	2.99642	-0.02510	0.84458
25	2.98505	0.01281	0.42736
26	2.98802	-0.00755	0.25326
27	2.99104	-0.00050	0.01674
28	2.99604	-0.01557	0.52232
29	2.98489	-0.01174	0.39489
30	3.00177	-0.00665	0.22206
31	2.99535	-0.02585	0.87058
32	2.98968	0.00452	0.15088
33	2.98111	-0.01070	0.36026
34	2.98767	0.01020	0.34013
35	2.99100	-0.01967	0.66208
36	2.98096	0.00501	0.16769
37	2.97409	0.01371	0.45886
38	2.98098	0.00956	0.31983
39	2.99902	-0.00390	0.13016
40	2.99778	-0.02005	0.67339
41	2.98832	0.00222	0.07438
42	2.99245	-0.01929	0.64887
43	2.98882	0.00538	0.17969
44	2.98826	-0.01785	0.60089
45	2.98246	0.02089	0.69571
46	2.98569	-0.00430	0.14432
47	2.99307	-0.00711	0.23807
48	2.98946	-0.00441	0.14785
49	2.98553	-0.00871	0.29270
50	2.98988	-0.00300	0.10046
51	2.98236	-0.01653	0.55732
52	2.99685	0.01290	0.42875
53	2.98678	-0.03101	1.04925
54	2.99024	0.00122	0.04069
55	3.00103	-0.02788	0.93757
56	2.99291	0.00495	0.16522
57	3.00183	-0.01312	0.43887
58	3.00503	-0.03280	1.10340
59	3.00117	-0.00880	0.29408
60	2.99388	-0.02073	0.69717
61	2.99566	-0.01335	0.44771
62	3.00220	-0.03545	1.19495
63	2.99552	-0.01871	0.62836
64	3.00068	-0.04308	1.45656
65	3.00229	-0.02639	0.88669
