#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.81231	0.00711	0.25210
2	2.95179	0.01313	0.44275
3	2.94151	0.04629	1.54916
4	2.95309	0.02463	0.82730
5	2.95412	0.03734	1.24821
6	2.93043	0.04547	1.52795
7	2.95745	0.02669	0.89441
8	2.96148	0.03547	1.18361
9	2.95510	0.02354	0.79030
10	2.94868	0.03271	1.09725
11	2.94062	0.02887	0.97220
12	2.95155	0.04082	1.36409
13	2.94935	0.03845	1.28687
14	2.93946	0.06298	2.09762
15	2.94596	0.03269	1.09743
16	2.93959	0.04363	1.46255
17	2.95211	0.03203	1.07326
18	2.95214	0.03200	1.07227
19	2.95698	0.03265	1.09213
20	2.94072	0.03792	1.27316
21	2.95123	0.03840	1.28440
22	2.94468	0.03030	1.01850
23	2.95170	0.04616	1.53993
24	2.94773	0.02360	0.79420
25	2.93745	0.06041	2.01503
26	2.94109	0.03939	1.32144
27	2.94274	0.04781	1.59859
28	2.94711	0.03336	1.11936
29	2.93717	0.03599	1.21035
30	2.95201	0.04311	1.43923
31	2.94556	0.02393	0.80592
32	2.94227	0.05193	1.73451
33	2.93450	0.03591	1.20905
34	2.93921	0.05865	1.95652
35	2.94390	0.02743	0.92305
36	2.93386	0.05211	1.74502
37	2.92916	0.05864	1.96249
38	2.93387	0.05668	1.89515
39	2.94973	0.04539	1.51532
40	2.94743	0.03030	1.01744
41	2.94154	0.04901	1.63867
42	2.94351	0.02965	0.99715
43	2.94122	0.05298	1.76953
44	2.94033	0.03008	1.01259
45	2.93584	0.06752	2.24806
46	2.93741	0.04398	1.47510
47	2.94512	0.04084	1.36787
48	2.94070	0.04435	1.48587
49	2.93916	0.03766	1.26498
50	2.94142	0.04546	1.52207
51	2.93555	0.03029	1.02123
52	2.94774	0.06202	2.06072
53	2.93922	0.01655	0.55992
54	2.94236	0.04909	1.64112
55	2.95028	0.02287	0.76921
56	2.94495	0.05291	1.76495
57	2.95218	0.03653	1.22232
58	2.95433	0.01791	0.60248
59	2.95070	0.04168	1.39272
60	2.94548	0.02767	0.93075
61	2.94678	0.03552	1.19114
62	2.95177	0.01498	0.50481
63	2.94648	0.03033	1.01894
64	2.95081	0.00679	0.22953
65	2.95234	0.02356	0.79167
66	2.95375	0.00660	0.22284
67	2.95695	0.01895	0.63670
68	2.96828	0.01036	0.34784
69	2.94843	0.01283	0.43324
70	2.94127	0.03005	1.01133
71	2.94526	0.01691	0.57094
72	2.93704	0.04526	1.51770
73	2.94505	0.01529	0.51646
74	2.94759	0.02373	0.79869
75	2.94912	0.00848	0.28672
76	2.93451	0.04596	1.54217
77	2.92367	0.04491	1.51296
78	2.92698	0.04526	1.52271
79	2.93016	0.04299	1.44603
80	2.94318	0.02723	0.91677
81	2.93693	0.04721	1.58191
82	2.93626	0.01219	0.41332
83	2.94238	0.04175	1.39910
84	2.94326	-0.00031	0.01039
85	2.92513	0.05077	1.70615
