#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.80262	0.01313	0.46646
2	2.90720	0.23434	7.45936
3	2.86516	0.26631	8.50427
4	2.60648	0.53688	17.07992
5	2.66979	-0.04713	1.79705
6	2.60329	0.00382	0.14651
7	2.60292	-0.00588	0.22640
8	2.60298	-0.00228	0.08781
9	2.60317	-0.01803	0.69758
10	2.60307	-0.00786	0.30292
11	2.60300	-0.00871	0.33565
12	2.60316	0.00120	0.04600
13	2.60328	-0.00990	0.38185
14	2.60329	-0.00992	0.38238
15	2.60312	-0.01158	0.44672
16	2.60334	0.00010	0.00382
17	2.60307	-0.00054	0.02077
18	2.60293	-0.00772	0.29744
19	2.74866	-0.14979	5.76384
20	2.60322	0.48616	15.73647
21	2.60308	0.00769	0.29441
22	2.60302	-0.00141	0.05419
23	2.60296	-0.01142	0.44053
24	2.60317	0.00027	0.01034
25	2.60322	-0.01167	0.45044
26	2.60321	0.00206	0.07917
27	2.60303	0.01505	0.57498
28	2.60323	-0.00070	0.02676
29	2.60320	0.00208	0.07970
30	2.60319	-0.01347	0.52019
31	2.60325	-0.00621	0.23930
32	2.60316	-0.00154	0.05930
33	2.60348	-0.00187	0.07182
34	2.74880	-0.15359	5.91832
35	2.60339	0.20504	7.30092
36	2.60329	0.00107	0.04107
37	2.60305	0.00040	0.01527
38	2.60299	-0.01602	0.61924
39	2.60340	-0.00728	0.28047
40	2.60295	-0.00592	0.22782
41	2.60311	-0.00424	0.16323
42	2.60308	-0.00421	0.16200
43	2.60306	-0.00419	0.16129
44	2.60319	-0.00066	0.02553
45	2.60304	-0.00143	0.05489
46	2.60305	0.01504	0.57445
47	2.60314	-0.00061	0.02341
48	2.64991	-0.06020	2.32445
49	2.70189	-0.10485	4.03726
50	2.60308	-0.01794	0.69385
51	2.60310	0.00492	0.18875
52	2.60344	-0.00457	0.17594
53	2.60308	-0.00879	0.33866
54	2.60317	0.00759	0.29072
55	2.60317	0.00302	0.11602
56	2.60330	-0.00718	0.27640
57	2.60319	-0.00066	0.02535
58	2.60331	-0.00535	0.20611
59	2.60328	-0.01173	0.45256
60	2.60330	0.00564	0.21603
61	2.60311	-0.00332	0.12780
62	2.60326	-0.00256	0.09839
63	2.74842	-0.14315	5.49445
64	2.60299	0.46900	15.26686
65	2.60305	0.00223	0.08551
66	2.60298	0.00504	0.19333
67	2.60317	-0.00064	0.02464
68	2.60315	-0.00885	0.34131
69	2.60317	-0.01163	0.44867
70	2.60300	-0.00871	0.33565
71	2.60321	0.00298	0.11426
72	2.60308	0.00311	0.11936
73	2.60293	0.00600	0.23010
74	2.60314	0.00579	0.22201
75	2.60325	-0.00896	0.34538
76	2.60330	0.00563	0.21585
77	2.60332	0.01385	0.52917
78	2.74844	-0.15415	5.94171
79	2.60329	-0.00168	0.06441
80	2.60318	-0.01896	0.73359
81	2.60321	0.00206	0.07917
82	2.60301	0.00684	0.26227
83	2.60309	-0.01063	0.41003
84	2.60326	-0.00347	0.13362
85	2.60307	0.00312	0.11954
86	2.60320	-0.01348	0.52055
87	2.60305	0.00680	0.26068
88	2.60344	0.01007	0.38546
89	2.60323	-0.00619	0.23842
90	2.60296	0.00323	0.12377
91	2.60307	-0.00054	0.02077
92	2.60386	0.01606	0.61291
93	2.74755	0.34823	11.24862
94	2.60309	0.00127	0.04864
95	2.60325	0.00294	0.11285
96	2.60319	0.00208	0.07988
97	2.60325	-0.00621	0.23912
