#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.80986	0.00590	0.20939
2	2.96998	0.17155	5.46084
3	2.94712	0.18435	5.88709
4	2.67726	0.46611	14.82832
5	2.68907	-0.06641	2.53199
6	2.58507	0.02203	0.84517
7	2.58723	0.00981	0.37760
8	2.58680	0.01390	0.53437
9	2.58573	-0.00059	0.02282
10	2.58631	0.00889	0.34269
11	2.58672	0.00757	0.29194
12	2.58581	0.01855	0.71243
13	2.58519	0.00819	0.31578
14	2.58506	0.00832	0.32077
15	2.58605	0.00550	0.21225
16	2.58481	0.01863	0.71566
17	2.58636	0.01617	0.62118
18	2.58718	0.00803	0.30949
19	2.71498	-0.11612	4.46792
20	2.62623	0.46314	14.99142
21	2.58633	0.02443	0.93580
22	2.58659	0.01503	0.57766
23	2.58696	0.00459	0.17695
24	2.58579	0.01765	0.67802
25	2.58549	0.00605	0.23358
26	2.58557	0.01970	0.75624
27	2.58654	0.03155	1.20490
28	2.58543	0.01710	0.65695
29	2.58556	0.01971	0.75663
30	2.58564	0.00408	0.15741
31	2.58524	0.01180	0.45437
32	2.58584	0.01577	0.60632
33	2.58395	0.01767	0.67900
34	2.75474	-0.15953	6.14708
35	2.58450	0.22393	7.97350
36	2.58513	0.01923	0.73833
37	2.58647	0.01697	0.65186
38	2.58682	0.00015	0.00570
39	2.58445	0.01167	0.44965
40	2.58701	0.01003	0.38621
41	2.58615	0.01272	0.48929
42	2.58629	0.01258	0.48389
43	2.58643	0.01243	0.47846
44	2.58565	0.01688	0.64842
45	2.58655	0.01506	0.57891
46	2.58647	0.03161	1.20753
47	2.58598	0.01655	0.63599
48	2.59415	-0.00443	0.17117
49	2.74737	-0.15033	5.78865
50	2.58629	-0.00115	0.04456
51	2.58622	0.02180	0.83606
52	2.58424	0.01463	0.56302
53	2.58631	0.00798	0.30772
54	2.58580	0.02497	0.95640
55	2.58583	0.02036	0.78124
56	2.58503	0.01109	0.42719
57	2.58571	0.01682	0.64644
58	2.58499	0.01297	0.49913
59	2.58517	0.00638	0.24615
60	2.58508	0.02386	0.91449
61	2.58618	0.01360	0.52321
62	2.58531	0.01539	0.59185
63	2.71774	-0.11246	4.31678
64	2.62597	0.44602	14.51882
65	2.58647	0.01880	0.72172
66	2.58690	0.02112	0.80986
67	2.58578	0.01674	0.64339
68	2.58596	0.00833	0.32116
69	2.58573	0.00581	0.22432
70	2.58675	0.00754	0.29062
71	2.58557	0.02062	0.79108
72	2.58630	0.01989	0.76302
73	2.58715	0.02178	0.83493
74	2.58596	0.02298	0.88080
75	2.58532	0.00897	0.34582
76	2.58503	0.02391	0.91640
77	2.58494	0.03224	1.23169
78	2.74898	-0.15469	5.96265
79	2.59297	0.00864	0.33217
80	2.58569	-0.00146	0.05658
81	2.58558	0.01969	0.75587
82	2.58668	0.02317	0.88794
83	2.58625	0.00621	0.23965
84	2.58533	0.01445	0.55589
85	2.58633	0.01985	0.76184
86	2.58563	0.00409	0.15797
87	2.58647	0.02338	0.89579
88	2.58429	0.02922	1.11796
89	2.58546	0.01157	0.44567
90	2.58696	0.01923	0.73786
91	2.58637	0.01616	0.62090
92	2.58671	0.03321	1.26763
93	2.75707	0.33871	10.94118
94	2.58618	0.01818	0.69802
95	2.58534	0.02085	0.80015
96	2.58567	0.01960	0.75251
97	2.58534	0.01170	0.45039
98	2.58544	0.01435	0.55190
99	2.58511	0.02199	0.84345
100	2.58489	0.02496	0.95652
101	2.58678	0.03405	1.29937
102	2.58666	0.01770	0.67959
103	2.58516	0.00456	0.17594
104	2.58514	0.01831	0.70322
105	2.58656	0.00865	0.33338
106	2.58539	0.00890	0.34321
107	2.63396	-0.04333	1.67256
108	2.70832	-0.09664	3.70014
109	2.58636	0.01708	0.65611
110	2.58441	0.02818	1.07869
111	2.58585	0.02034	0.78049
112	2.58683	0.01753	0.67315
113	2.58550	0.01611	0.61922
114	2.58433	0.02003	0.76909
115	2.58608	0.03658	1.39484
116	2.58624	0.01446	0.55612
117	2.58497	0.02580	0.98805
118	2.58601	0.01378	0.52996
119	2.58606	0.02013	0.77255
120	2.58553	0.01151	0.44303
121	2.58628	0.02631	1.00712
122	2.72978	0.33123	10.82083
123	2.61281	-0.00936	0.35968
124	2.58440	0.02454	0.94059
125	2.58588	0.01116	0.42970
126	2.58622	0.01082	0.41657
127	2.58412	0.01566	0.60237
128	2.58535	0.02816	1.07731
129	2.58607	0.02469	0.94581
130	2.58413	0.02572	0.98543
131	2.58594	0.01293	0.49743
132	2.58532	0.02178	0.83552
133	2.58528	0.00810	0.31233
134	2.58637	0.01250	0.48103
135	2.58548	0.02345	0.89895
136	2.59338	0.00457	0.17597
137	2.67270	-0.06560	2.51617
138	2.58487	0.02040	0.78307
139	2.58613	0.01183	0.45519
140	2.58504	0.03213	1.22783
141	2.58655	0.00683	0.26333
142	2.58644	0.02341	0.89711
143	2.58534	0.00895	0.34515
144	2.58551	0.00512	0.19763
145	2.58653	0.02515	0.96308
146	2.58373	0.00781	0.30153
147	2.58474	0.01595	0.61347
148	2.58612	0.01733	0.66559
149	2.58716	0.02086	0.79969
150	2.58521	0.00542	0.20936
151	2.68149	0.40605	13.15129
152	2.58468	0.01785	0.68570
153	2.58642	0.01062	0.40888
154	2.58631	0.01347	0.51820
155	2.58371	0.02157	0.82788
156	2.58646	0.01332	0.51248
157	2.58576	0.01311	0.50458
158	2.58634	0.01436	0.55212
159	2.58685	0.02392	0.91608
160	2.58418	0.02567	0.98340
161	2.58591	0.02668	1.02133
162	2.58647	0.00873	0.33657
163	2.58548	0.02346	0.89904
164	2.58667	0.00853	0.32882
165	2.62942	-0.01499	0.57342
166	2.71156	-0.11269	4.33603
167	2.58595	0.01841	0.70683
168	2.58723	0.02079	0.79708
169	2.58726	0.00886	0.34141
170	2.58688	0.01474	0.56651
171	2.58474	0.01230	0.47366
172	2.58541	0.00797	0.30724
173	2.58455	0.02163	0.83014
174	2.58585	0.01851	0.71084
175	2.58652	0.01510	0.58024
176	2.58559	0.02151	0.82507
177	2.58666	0.02502	0.95818
178	2.58481	0.01680	0.64574
179	2.58571	0.02780	1.06378
180	2.71171	0.37949	12.27646
181	2.63119	-0.03049	1.17243
182	2.58552	0.02158	0.82789
183	2.58675	0.00846	0.32596
184	2.58612	0.01640	0.63031
185	2.58592	0.00929	0.35791
186	2.58413	0.03030	1.15882
187	2.58429	0.01641	0.63103
188	2.58656	0.02878	1.10030
189	2.58665	0.03052	1.16608
190	2.58443	0.01810	0.69532
191	2.58444	0.02175	0.83438
192	2.58535	0.01535	0.59016
193	2.58625	0.01262	0.48549
194	2.58698	0.00914	0.35200
195	2.75515	-0.14347	5.49353
196	2.58690	0.01929	0.74021
197	2.58694	0.02199	0.84291
198	2.58502	0.00836	0.32225
199	2.58507	0.01197	0.46093
200	2.58605	0.01557	0.59838
201	2.58565	0.01963	0.75339
202	2.58526	0.01361	0.52356
203	2.58610	0.01368	0.52624
204	2.58598	0.02113	0.81033
205	2.58536	0.02540	0.97296
206	2.58502	0.02117	0.81223
207	2.58571	0.02231	0.85553
208	2.58507	0.02844	1.08823
209	2.62940	0.41422	13.60958
210	2.71223	-0.12434	4.80475
211	2.58465	0.02429	0.93086
212	2.58557	0.02062	0.79114
213	2.58632	0.01255	0.48297
214	2.58640	0.02711	1.03738
215	2.58605	0.01007	0.38786
216	2.58465	0.02703	1.03495
217	2.58471	0.00867	0.33439
218	2.58561	0.01234	0.47503
219	2.58659	0.00770	0.29688
220	2.58520	0.01092	0.42078
221	2.58602	0.01193	0.45923
222	2.58563	0.00867	0.33406
223	2.58443	0.01078	0.41527
224	2.74888	0.33318	10.81021
225	2.59423	0.01745	0.66804
226	2.58557	0.01330	0.51158
227	2.58501	0.01752	0.67319
228	2.58555	0.02155	0.82677
